0x00 Fifo
0x01 OpMode
0x06 FrfMsb
0x07 FrfMid
0x08 FrfLsb
0x09 PaConfig
0x0A PaRamp
0x0B Ocp
0x0C Lna
0x0D FifoAddrPtr
0x0E FifoTxBaseAddr
0x0F FifoRxBaseAddr
0x10 RxCurrentAddr
0x11 IrqFlagsMask
0x12 IrqFlags
0x13 RxNbBytes
0x14 RxHeaderCntValueMsb
0x15 RxHeaderCntValueLsb
0x16 RxPacketCntValueMsb
0x17 RxPacketCntValueLsb
0x18 ModemStat 
0x19 PktSnrValue 
0x1A PktRssiValue
0x1B RssiValue
0x1C HopChannel
0x1D ModemConfig1
0x1E ModemConfig2
0x1F SymbTimeoutLsb
0x20 PreambleMsb
0x21 PreambleLsb
0x22 PayloadLength
0x23 MaxPayloadLength
0x24 HopPeriod
0x25 FifoRxByteAddr
0x26 ModemConfig3
0x28 FeiMsb
0x29 FeiMid
0x2A FeiLsb
0x2C RssiWideband
0x2F IfFreq1
0x30 IfFreq2
0x31 DetectOptimize
0x33 InvertIQ
0x36 HighBwOptimize1
0x37 DetectionThreshold
0x39 SyncWord
0x3A HighBwOptimize2
0x3B InvertIQ2
0x40 DioMapping1
0x41 DioMapping2
0x42 Version
0x4B Tcxo
0x4D PaDac
0x5B FormerTemp
0x61 AgcRef
0x62 AgcThresh1
0x63 AgcThresh2
0x64 AgcThresh3
0x70 Pll
