0x00 Fifo
0x01 OpMode
0x02 BitrateMsb
0x03 BitrateLsb
0x04 FdevMsb
0x05 FdevLsb
0x06 FrfMsb
0x07 FrfMid
0x08 FrfLsb
0x09 PaConfig
0x0A PaRamp
0x0B Ocp
0x0C Lna
0x0D RxConfig
0x0E RssiConfig
0x0F RssiCollision
0x10 RssiThresh
0x11 RssiValue
0x12 RxBw
0x13 AfcBw
0x14 OokPeak
0x15 OokFix
0x16 OokAvg
0x17 Reserved17
0x18 Reserved18 
0x19 Reserved19 
0x1A AfcFei
0x1B AfcMsb
0x1C AfcLsb
0x1D FeiMsb
0x1E FeiLsb
0x1F PreambleDetect
0x20 RxTimeout1
0x21 RxTimeout2
0x22 RxTimeout3
0x23 RxDelay
0x24 Osc
0x25 PreambleMsb
0x26 PreambleLsb
0x27 SyncConfig
0x28 SyncValue1
0x29 SyncValue2
0x2A SyncValue3
0x2B SyncValue4
0x2C SyncValue5
0x2D SyncValue6
0x2E SyncValue7
0x2F SyncValue8
0x30 PacketConfig1
0x31 PacketConfig2
0x32 PayloadLength
0x33 NodeAdrs
0x34 BroadcastAdrs
0x35 FifoThresh
0x36 SeqConfig1
0x37 SeqConfig2
0x38 TimerResol
0x39 Timer1Coef
0x3A Timer2Coef
0x3B ImageCal
0x3C Temp
0x3D LowBat
0x3E IrqFlags1
0x3F IrqFlags2
0x40 DioMapping1
0x41 DioMapping2
0x42 Version
0x44 BitRateFrac
0x4B Tcxo
0x4D PaDac
0x5B FormerTemp
0x5D BitRateFrac
0x61 AgcRef
0x62 AgcThresh1
0x63 AgcThresh2
0x64 AgcThresh3
0x70 Pll
